;ID;lon;lat
0;210;4.430;52.171
1;257;4.603;52.506
3;260;5.180;52.100
5;267;5.384;52.898
6;269;5.520;52.458
7;270;5.752;53.224
8;273;5.888;52.703
9;275;5.873;52.056
10;277;6.200;53.413
11;215;4.437;52.141
12;278;6.259;52.435
13;279;6.574;52.750
14;280;6.585;53.125
15;283;6.657;52.069
17;286;7.150;53.196
18;290;6.891;52.274
20;391;6.197;51.498
21;380;5.762;50.906
23;377;5.763;51.198
24;375;5.707;51.659
25;370;5.377;51.451
26;356;5.146;51.859
27;350;4.936;51.566
28;348;4.926;51.970
29;344;4.447;51.962
32;330;4.122;51.992
33;235;4.781;52.928
35;323;3.884;51.527
36;319;3.861;51.226
42;310;3.596;51.442
43;240;4.790;52.318
46;249;4.979;52.644
47;251;5.346;53.392
